          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        19.1107,      0.0320757,      0.0610104,       0.190886,       0.363079,     -0.0349066,     -0.0299092,       0.363808
         19.096,      0.0320757,      0.0610104,       0.191179,       0.363637,     -0.0349066,     -0.0299015,       0.364368
         19.096,      0.0320757,      0.0610104,       0.191179,       0.363637,     -0.0349066,     -0.0299015,       0.364368
          19.14,      0.0320757,      0.0610104,       0.190301,       0.361967,     -0.0349066,     -0.0299245,       0.362691
          19.14,      0.0320757,      0.0610104,       0.190301,       0.361967,     -0.0349066,     -0.0299245,       0.362691
         19.184,      0.0320757,      0.0610104,       0.189429,       0.360308,     -0.0349066,     -0.0299473,       0.361026
        19.2574,      0.0320757,      0.0610104,       0.187989,        0.35757,     -0.0349066,      -0.029985,       0.358276
        19.3747,      0.0320757,      0.0610104,       0.185719,       0.353252,     -0.0349066,     -0.0300445,       0.353942
          19.36,      0.0317267,      0.0510165,       0.183977,       0.295835,     -0.0349066,     -0.0300901,       0.296511
        19.3307,      0.0317267,      0.0510165,       0.184535,       0.296733,     -0.0349066,     -0.0300754,       0.297414
        19.3307,      0.0317267,      0.0510165,       0.184535,       0.296733,     -0.0349066,     -0.0300754,       0.297414
        19.3014,      0.0317267,      0.0510165,       0.185097,       0.297636,     -0.0349066,     -0.0300608,       0.298321
        19.1547,      0.0317267,      0.0510165,       0.187942,       0.302211,     -0.0349066,     -0.0299863,       0.302917
        19.1547,      0.0317267,      0.0510165,       0.187942,       0.302211,     -0.0349066,     -0.0299863,       0.302917
        19.2427,      0.0317267,      0.0510165,       0.186227,       0.299453,     -0.0349066,     -0.0300312,       0.300147
        19.3454,      0.0317267,      0.0510165,       0.184256,       0.296283,     -0.0349066,     -0.0300828,       0.296962
        19.5654,      0.0317267,      0.0510165,       0.180135,       0.289658,     -0.0349066,     -0.0301906,       0.290307
         19.888,      0.0317267,      0.0510165,       0.174338,       0.280335,     -0.0349066,     -0.0303424,       0.280943
        20.2547,      0.0317267,      0.0510165,       0.168083,       0.270277,     -0.0349066,     -0.0305062,       0.270842
        20.6654,      0.0317267,      0.0510165,       0.161469,       0.259642,     -0.0349066,     -0.0306793,       0.260163
         20.944,      0.0317267,      0.0510165,       0.157201,       0.252779,     -0.0349066,     -0.0307911,       0.253273
         21.252,      0.0317267,      0.0510165,       0.152677,       0.245505,     -0.0349066,     -0.0309095,       0.245971
         21.648,      0.0317267,      0.0510165,       0.147142,       0.236605,     -0.0349066,     -0.0310544,       0.237038
        21.9707,      0.0317267,      0.0510165,       0.142852,       0.229706,     -0.0349066,     -0.0311667,       0.230115
        22.2347,      0.0317267,      0.0510165,        0.13948,       0.224284,     -0.0349066,      -0.031255,       0.224673
        22.6307,      0.0317267,      0.0510165,       0.134641,       0.216503,     -0.0349066,     -0.0313817,       0.216866
