          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
            mph,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        132.775,      0.0092242,      -0.148186,     0.00113723,     -0.0182695,     -0.0715585,     -0.0715287,     -0.0182695
        132.964,      0.0625927,       0.890502,     0.00769497,       0.109476,     -0.0366519,     -0.0364504,       0.109477
        132.121,       0.197646,       0.792403,      0.0246092,      0.0986634,     0.00296706,     0.00361133,      0.0986755
        132.624,       0.377765,       0.938225,      0.0466799,       0.115935,      0.0366519,       0.037874,       0.115979
        131.637,       0.532801,       0.632257,      0.0668286,      0.0793033,      0.0720821,      0.0738316,      0.0793926
        131.169,       0.727052,       0.610388,       0.091845,      0.0771074,       0.106465,        0.10887,      0.0772761
        131.993,       0.956005,       0.512134,       0.119264,        0.06389,       0.139626,       0.142749,      0.0641745
        131.748,        1.06099,       0.280021,       0.132854,      0.0350633,       0.176976,       0.180454,      0.0354163
        130.933,        1.13176,      0.0560427,       0.143486,     0.00710517,       0.207694,       0.211451,     0.00751693
        131.327,        1.20877,       0.137375,        0.15233,      0.0173121,       0.245917,       0.249905,      0.0177762
        125.707,        1.21662,      -0.704276,       0.167335,      -0.096867,       0.282743,       0.287124,      -0.096307
         125.66,        1.74335,      -0.626846,       0.239962,     -0.0862815,       0.314159,       0.320441,     -0.0851299
