Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:38:23.784  	0.434	13.03	-2.0	0.03	0.06	0.05	-0.078	Normal	
20200924 14:38:23.887  	0.433	13.02	-2.0	0.03	0.06	0.05	-0.078	Normal	
20200924 14:38:23.987  	0.433	13.02	-2.0	0.03	0.06	0.05	-0.078	Normal	
20200924 14:38:24.088  	0.435	13.05	-2.0	0.03	0.06	0.05	-0.078	Normal	
20200924 14:38:24.188  	0.435	13.05	-2.0	0.03	0.06	0.05	-0.078	Normal	
20200924 14:38:24.289  	0.437	13.08	-2.0	0.03	0.06	0.04	-0.078	Normal	
20200924 14:38:24.390  	0.440	13.13	-2.0	0.03	0.06	0.04	-0.078	Normal	
20200924 14:38:24.521  	0.446	13.21	-2.0	0.03	0.06	0.04	-0.078	Normal	
20200924 14:38:24.654  	0.446	13.20	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:24.754  	0.444	13.18	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:24.854  	0.444	13.18	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:24.986  	0.443	13.16	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:25.119  	0.436	13.06	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:25.218  	0.436	13.06	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:25.321  	0.440	13.12	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:25.421  	0.445	13.19	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:25.523  	0.455	13.34	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:25.624  	0.470	13.56	-2.0	0.03	0.05	0.04	-0.078	Normal	
20200924 14:38:25.723  	0.488	13.81	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:25.853  	0.507	14.09	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:25.953  	0.521	14.28	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:26.054  	0.537	14.49	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:26.185  	0.557	14.76	-2.0	0.03	0.05	0.04	-0.077	Normal	
20200924 14:38:26.316  	0.574	14.98	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:26.417  	0.588	15.16	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:26.517  	0.609	15.43	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:26.647  	0.647	15.91	-2.0	0.03	0.05	0.05	-0.078	Normal	
20200924 14:38:26.781  	0.684	16.36	-2.0	0.03	0.04	0.05	-0.078	Normal	
20200924 14:38:26.913  	0.730	16.90	-2.0	0.03	0.04	0.05	-0.077	Normal	
20200924 14:38:27.013  	0.765	17.30	-2.0	0.03	0.04	0.04	-0.077	Normal	
20200924 14:38:27.146  	0.815	17.85	-2.0	0.03	0.04	0.04	-0.076	Normal	
20200924 14:38:27.245  	0.852	18.26	-2.0	0.03	0.04	0.04	-0.076	Normal	
20200924 14:38:27.377  	0.902	18.78	-2.0	0.03	0.04	0.04	-0.075	Normal	
20200924 14:38:27.475  	0.938	19.16	-2.0	0.03	0.04	0.04	-0.075	Normal	
20200924 14:38:27.608  	0.986	19.64	-2.0	0.03	0.05	0.04	-0.075	Normal	
20200924 14:38:27.736  	1.027	20.04	-2.0	0.03	0.05	0.04	-0.075	Normal	
20200924 14:38:27.869  	1.067	20.42	-2.0	0.03	0.05	0.04	-0.075	Normal	
20200924 14:38:27.969  	1.095	20.69	-2.0	0.03	0.05	0.04	-0.076	Normal	
20200924 14:38:28.070  	1.124	20.97	-2.0	0.03	0.05	0.05	-0.076	Normal	
20200924 14:38:28.169  	1.157	21.28	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:28.270  	1.190	21.57	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:28.370  	1.232	21.95	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:28.474  	1.281	22.39	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:28.605  	1.349	22.97	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:28.736  	1.407	23.46	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:28.837  	1.453	23.84	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:28.937  	1.499	24.21	-2.0	0.03	0.05	0.05	-0.077	Normal	
20200924 14:38:29.038  	1.543	24.57	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:29.171  	1.604	25.04	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:29.305  	1.668	25.54	-2.0	0.04	0.05	0.05	-0.077	Normal	
20200924 14:38:29.404  	1.721	25.94	-2.0	0.04	0.06	0.05	-0.077	Normal	
20200924 14:38:29.505  	1.770	26.31	-2.0	0.03	0.06	0.05	-0.077	Normal	
20200924 14:38:29.605  	1.824	26.71	-2.0	0.03	0.06	0.05	-0.077	Normal	
20200924 14:38:29.706  	1.880	27.12	-2.0	0.03	0.06	0.05	-0.076	Normal	
20200924 14:38:29.838  	1.940	27.55	-2.0	0.03	0.06	0.05	-0.076	Normal	
20200924 14:38:29.970  	1.989	27.89	-2.0	0.03	0.06	0.05	-0.076	Normal	
20200924 14:38:30.070  	2.028	28.17	-2.0	0.03	0.06	0.05	-0.077	Normal	
20200924 14:38:30.170  	2.076	28.50	-2.0	0.03	0.06	0.05	-0.077	Normal	
20200924 14:38:30.272  	2.129	28.86	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.404  	2.194	29.29	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.536  	2.267	29.78	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.637  	2.337	30.23	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.736  	2.406	30.68	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.869  	2.477	31.12	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.971  	2.531	31.46	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.072  	2.591	31.83	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.203  	2.677	32.36	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.302  	2.736	32.71	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.404  	2.798	33.08	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.504  	2.868	33.49	-2.0	0.03	0.07	0.04	-0.077	Normal	
20200924 14:38:31.605  	2.937	33.89	-2.0	0.03	0.07	0.05	-0.077	Normal	
