Date:	9/24/2020
Time:	2:20 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:18:46.879  	25.704	100.27	-3.7	0.04	0.22	0.04	-0.029	Normal	
20200924 14:18:46.913  	25.716	100.29	-3.7	0.04	0.22	0.04	-0.030	Normal	
20200924 14:18:46.947  	25.705	100.27	-3.7	0.04	0.24	0.04	-0.030	Normal	
20200924 14:18:46.981  	25.706	100.27	-3.7	0.04	0.24	0.04	-0.030	Normal	
20200924 14:18:47.013  	25.670	100.20	-3.7	0.04	0.24	0.04	-0.030	Normal	
20200924 14:18:47.045  	25.681	100.22	-3.7	0.04	0.24	0.04	-0.030	Normal	
20200924 14:18:47.079  	25.662	100.19	-3.7	0.04	0.22	0.04	-0.029	Normal	
20200924 14:18:47.111  	25.691	100.24	-3.7	0.04	0.22	0.04	-0.029	Normal	
20200924 14:18:47.144  	25.664	100.19	-3.7	0.04	0.21	0.04	-0.029	Normal	
20200924 14:18:47.178  	25.664	100.19	-3.7	0.04	0.21	0.04	-0.029	Normal	
20200924 14:18:54.029  	26.042	100.93	-2.0	0.04	0.38	0.04	-0.030	Normal	
20200924 14:18:54.063  	25.977	100.80	-2.0	0.04	0.39	0.04	-0.030	Normal	
20200924 14:18:54.097  	25.959	100.77	-2.0	0.04	0.40	0.04	-0.030	Normal	
20200924 14:18:54.130  	25.915	100.68	-2.0	0.04	0.40	0.04	-0.030	Normal	
20200924 14:18:54.163  	25.844	100.54	-2.0	0.04	0.40	0.04	-0.030	Normal	
20200924 14:18:54.197  	25.803	100.46	-2.0	0.04	0.40	0.04	-0.030	Normal	
20200924 14:18:54.230  	25.808	100.47	-2.0	0.04	0.40	0.04	-0.030	Normal	
20200924 14:18:54.263  	25.784	100.43	-2.0	0.04	0.39	0.04	-0.030	Normal	
20200924 14:18:54.297  	25.756	100.37	-2.0	0.04	0.39	0.04	-0.030	Normal	
20200924 14:18:54.330  	25.737	100.33	-2.0	0.04	0.39	0.04	-0.030	Normal	
20200924 14:18:57.995  	25.582	100.03	0.2	0.06	0.48	0.04	-0.031	Normal	
20200924 14:18:58.029  	25.608	100.08	0.2	0.06	0.48	0.05	-0.031	Normal	
20200924 14:18:58.064  	25.619	100.10	0.2	0.06	0.48	0.05	-0.031	Normal	
20200924 14:18:58.096  	25.661	100.19	0.2	0.06	0.48	0.05	-0.031	Normal	
20200924 14:18:58.129  	25.688	100.24	0.2	0.07	0.48	0.05	-0.031	Normal	
20200924 14:18:58.162  	25.743	100.35	0.2	0.07	0.47	0.05	-0.031	Normal	
20200924 14:18:58.195  	25.745	100.35	0.2	0.07	0.47	0.05	-0.030	Normal	
