Date:	9/24/2020
Time:	2:30 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:30:00.523  	0.476	13.65	2.0	0.04	-0.01	0.05	-0.060	Normal	
20200924 14:30:00.624  	0.475	13.64	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:00.756  	0.473	13.60	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:00.856  	0.473	13.60	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:00.957  	0.470	13.56	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:01.059  	0.468	13.53	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:01.189  	0.464	13.47	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.290  	0.463	13.45	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.390  	0.462	13.44	2.0	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:01.492  	0.458	13.38	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.594  	0.457	13.37	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.723  	0.456	13.35	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.824  	0.455	13.34	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:01.925  	0.454	13.33	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.026  	0.454	13.32	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.157  	0.453	13.31	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.259  	0.452	13.30	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.358  	0.453	13.32	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.460  	0.456	13.35	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.591  	0.458	13.39	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.694  	0.459	13.40	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.824  	0.461	13.43	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:02.958  	0.464	13.48	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:03.091  	0.470	13.56	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:03.192  	0.476	13.65	2.0	0.04	-0.01	0.05	-0.062	Normal	
20200924 14:30:03.292  	0.485	13.77	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:03.393  	0.497	13.95	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:03.524  	0.517	14.22	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:03.657  	0.540	14.53	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:03.757  	0.557	14.77	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:03.857  	0.578	15.03	2.0	0.04	0.00	0.05	-0.062	Normal	
20200924 14:30:03.957  	0.598	15.29	2.0	0.04	0.00	0.05	-0.062	Normal	
20200924 14:30:04.057  	0.620	15.57	2.0	0.04	0.00	0.05	-0.062	Normal	
20200924 14:30:04.158  	0.645	15.88	2.0	0.04	0.01	0.05	-0.062	Normal	
20200924 14:30:04.258  	0.670	16.19	2.0	0.04	0.01	0.05	-0.062	Normal	
20200924 14:30:04.359  	0.698	16.52	2.0	0.04	0.01	0.05	-0.062	Normal	
20200924 14:30:04.461  	0.729	16.88	2.0	0.04	0.01	0.05	-0.062	Normal	
20200924 14:30:04.590  	0.769	17.35	2.0	0.04	0.00	0.05	-0.062	Normal	
20200924 14:30:04.691  	0.800	17.69	2.0	0.04	0.00	0.05	-0.063	Normal	
20200924 14:30:04.791  	0.828	18.00	2.0	0.04	0.00	0.05	-0.062	Normal	
20200924 14:30:04.891  	0.859	18.33	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:05.023  	0.899	18.75	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:05.125  	0.928	19.06	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:05.224  	0.964	19.42	2.0	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:05.356  	1.016	19.93	2.0	0.04	0.01	0.05	-0.062	Normal	
20200924 14:30:05.490  	1.067	20.42	2.0	0.04	0.02	0.06	-0.062	Normal	
20200924 14:30:05.590  	1.106	20.80	2.0	0.04	0.02	0.06	-0.062	Normal	
20200924 14:30:05.690  	1.145	21.16	2.0	0.05	0.03	0.06	-0.062	Normal	
20200924 14:30:05.823  	1.197	21.64	2.0	0.05	0.03	0.07	-0.062	Normal	
20200924 14:30:05.924  	1.235	21.98	2.0	0.05	0.03	0.07	-0.062	Normal	
20200924 14:30:06.025  	1.276	22.34	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:06.127  	1.318	22.70	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:06.259  	1.384	23.27	2.0	0.06	0.04	0.08	-0.062	Normal	
20200924 14:30:06.359  	1.437	23.71	2.0	0.07	0.04	0.08	-0.062	Normal	
20200924 14:30:06.492  	1.502	24.24	2.0	0.06	0.04	0.08	-0.062	Normal	
20200924 14:30:06.591  	1.551	24.63	2.0	0.06	0.04	0.08	-0.062	Normal	
20200924 14:30:06.723  	1.609	25.09	2.0	0.06	0.04	0.08	-0.062	Normal	
20200924 14:30:06.824  	1.654	25.44	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:06.924  	1.698	25.77	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:07.025  	1.744	26.12	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:07.127  	1.795	26.50	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:07.227  	1.852	26.91	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:07.326  	1.905	27.30	2.0	0.06	0.04	0.07	-0.062	Normal	
20200924 14:30:07.428  	1.958	27.67	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:07.558  	2.027	28.16	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:07.660  	2.071	28.46	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:07.760  	2.113	28.75	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:07.860  	2.168	29.12	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:07.962  	2.233	29.55	2.0	0.06	0.04	0.07	-0.061	Normal	
20200924 14:30:08.094  	2.321	30.13	2.0	0.06	0.04	0.07	-0.060	Normal	
20200924 14:30:08.225  	2.409	30.70	2.0	0.06	0.05	0.07	-0.061	Normal	
20200924 14:30:08.325  	2.481	31.15	2.0	0.06	0.05	0.07	-0.061	Normal	
20200924 14:30:08.457  	2.572	31.72	2.0	0.06	0.05	0.07	-0.061	Normal	
20200924 14:30:08.557  	2.624	32.04	2.0	0.06	0.05	0.07	-0.061	Normal	
20200924 14:30:08.657  	2.682	32.39	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:08.758  	2.736	32.71	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:08.860  	2.796	33.07	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:08.960  	2.857	33.43	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:09.060  	2.917	33.78	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:09.189  	2.996	34.23	2.0	0.06	0.05	0.07	-0.062	Normal	
20200924 14:30:09.291  	3.052	34.55	2.0	0.06	0.05	0.06	-0.062	Normal	
20200924 14:30:09.423  	3.136	35.03	2.0	0.06	0.05	0.06	-0.061	Normal	
