Date:	9/24/2020
Time:	2:23 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:22:33.144  	6.883	51.89	-4.0	0.04	0.18	0.05	-0.042	Normal	
20200924 14:22:33.247  	6.879	51.87	-4.0	0.04	0.18	0.05	-0.042	Normal	
20200924 14:22:33.378  	6.860	51.80	-4.0	0.04	0.18	0.05	-0.042	Normal	
20200924 14:22:33.478  	6.833	51.70	-4.0	0.04	0.18	0.05	-0.043	Normal	
20200924 14:22:33.578  	6.813	51.62	-4.0	0.04	0.18	0.05	-0.043	Normal	
20200924 14:22:33.710  	6.770	51.46	-4.0	0.04	0.18	0.05	-0.043	Normal	
20200924 14:22:33.810  	6.740	51.35	-4.0	0.04	0.18	0.05	-0.043	Normal	
20200924 14:22:33.911  	6.717	51.26	-3.7	0.04	0.18	0.05	-0.043	Normal	
20200924 14:22:34.043  	6.701	51.20	-3.5	0.04	0.19	0.05	-0.043	Normal	
20200924 14:22:34.143  	6.707	51.22	-3.3	0.04	0.22	0.05	-0.043	Normal	
20200924 14:22:34.244  	6.714	51.25	-3.1	0.04	0.22	0.05	-0.043	Normal	
20200924 14:22:34.343  	6.723	51.28	-3.0	0.04	0.22	0.05	-0.043	Normal	
20200924 14:22:34.476  	6.741	51.35	-2.7	0.04	0.20	0.05	-0.042	Normal	
20200924 14:22:34.576  	6.758	51.41	-2.7	0.04	0.17	0.05	-0.042	Normal	
20200924 14:22:34.677  	6.776	51.48	-2.7	0.04	0.16	0.05	-0.042	Normal	
20200924 14:22:34.776  	6.784	51.51	-2.7	0.04	0.11	0.05	-0.042	Normal	
20200924 14:22:34.878  	6.792	51.54	-2.7	0.04	0.10	0.05	-0.043	Normal	
20200924 14:22:35.009  	6.791	51.54	-2.7	0.04	0.10	0.05	-0.042	Normal	
20200924 14:22:35.109  	6.787	51.53	-2.5	0.04	0.11	0.04	-0.042	Normal	
20200924 14:22:35.243  	6.789	51.53	-2.3	0.04	0.11	0.05	-0.042	Normal	
20200924 14:22:35.373  	6.783	51.51	-2.0	0.04	0.11	0.04	-0.042	Normal	
20200924 14:22:35.502  	6.775	51.48	-1.8	0.04	0.11	0.04	-0.041	Normal	
20200924 14:22:35.632  	6.770	51.46	-1.8	0.04	0.13	0.05	-0.042	Normal	
20200924 14:22:35.761  	6.771	51.46	-1.8	0.08	0.24	0.10	-0.042	Normal	
20200924 14:22:35.859  	6.769	51.46	-1.8	0.09	0.24	0.11	-0.042	Normal	
20200924 14:22:35.959  	6.778	51.49	-1.7	0.09	0.24	0.11	-0.042	Normal	
20200924 14:22:36.059  	6.777	51.48	-1.7	0.10	0.24	0.11	-0.042	Normal	
20200924 14:22:36.159  	6.763	51.43	-1.6	0.10	0.24	0.11	-0.042	Normal	
20200924 14:22:36.292  	6.749	51.38	-1.6	0.10	0.24	0.11	-0.042	Normal	
20200924 14:22:36.425  	6.752	51.39	-1.4	0.10	0.25	0.12	-0.042	Normal	
20200924 14:22:36.554  	6.746	51.37	-1.3	0.11	0.27	0.12	-0.042	Normal	
20200924 14:22:36.653  	6.734	51.32	-1.1	0.11	0.30	0.13	-0.042	Normal	
20200924 14:22:36.782  	6.717	51.26	-1.1	0.12	0.30	0.13	-0.042	Normal	
20200924 14:22:36.911  	6.716	51.25	-1.1	0.13	0.31	0.14	-0.042	Normal	
20200924 14:22:37.012  	6.709	51.23	-1.1	0.13	0.31	0.14	-0.042	Normal	
20200924 14:22:37.113  	6.711	51.24	-1.0	0.13	0.31	0.15	-0.042	Normal	
20200924 14:22:37.244  	6.735	51.33	-0.9	0.14	0.32	0.15	-0.043	Normal	
20200924 14:22:37.343  	6.738	51.34	-0.7	0.15	0.33	0.16	-0.043	Normal	
20200924 14:22:37.442  	6.756	51.41	-0.7	0.15	0.35	0.17	-0.043	Normal	
20200924 14:22:37.545  	6.766	51.44	-0.4	0.16	0.35	0.18	-0.043	Normal	
20200924 14:22:37.647  	6.794	51.55	-0.4	0.16	0.35	0.18	-0.043	Normal	
20200924 14:22:37.749  	6.805	51.59	-0.4	0.16	0.33	0.18	-0.043	Normal	
20200924 14:22:37.850  	6.788	51.53	-0.4	0.16	0.30	0.18	-0.043	Normal	
20200924 14:22:37.951  	6.788	51.53	-0.4	0.15	0.20	0.16	-0.042	Normal	
20200924 14:22:38.081  	6.782	51.50	-0.4	0.14	0.19	0.15	-0.042	Normal	
20200924 14:22:38.181  	6.784	51.51	-0.2	0.14	0.19	0.15	-0.042	Normal	
20200924 14:22:38.282  	6.774	51.47	-0.1	0.14	0.19	0.15	-0.042	Normal	
