Date:	9/24/2020
Time:	2:13 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:12:22.031  	12.381	69.59	-4.1	0.02	0.08	0.03	-0.009	Normal	
20200924 14:12:22.065  	12.380	69.59	-4.1	0.02	0.09	0.03	-0.009	Normal	
20200924 14:12:22.098  	12.370	69.56	-4.1	0.02	0.07	0.03	-0.009	Normal	
20200924 14:12:22.133  	12.356	69.52	-4.1	0.02	0.07	0.03	-0.009	Normal	
20200924 14:12:22.166  	12.375	69.57	-4.1	0.02	0.07	0.03	-0.009	Normal	
20200924 14:12:22.198  	12.376	69.58	-4.1	0.02	0.11	0.03	-0.009	Normal	
20200924 14:12:22.231  	12.382	69.59	-4.1	0.02	0.07	0.03	-0.009	Normal	
20200924 14:12:22.265  	12.395	69.63	-4.1	0.03	0.05	0.03	-0.009	Normal	
20200924 14:12:22.298  	12.392	69.62	-4.1	0.02	0.07	0.03	-0.009	Normal	
20200924 14:12:22.331  	12.404	69.65	-4.1	0.02	0.10	0.03	-0.009	Normal	
20200924 14:12:33.816  	13.294	72.11	-2.0	0.02	0.50	0.03	-0.010	Normal	
20200924 14:12:33.851  	13.311	72.16	-2.0	0.03	0.50	0.03	-0.010	Normal	
20200924 14:12:33.886  	13.326	72.20	-2.0	0.03	0.50	0.03	-0.010	Normal	
20200924 14:12:33.919  	13.342	72.24	-2.0	0.03	0.50	0.03	-0.010	Normal	
20200924 14:12:33.953  	13.334	72.22	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:33.986  	13.328	72.20	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:34.020  	13.320	72.18	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:34.053  	13.303	72.14	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:34.085  	13.289	72.10	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:34.116  	13.303	72.14	-2.0	0.03	0.50	0.03	-0.011	Normal	
20200924 14:12:37.906  	12.342	69.48	0.1	0.20	0.53	0.17	-0.010	Normal	
