Date:	9/24/2020
Time:	2:28 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:27:46.013  	15.888	78.83	-4.0	0.04	0.06	0.04	-0.053	Normal	
20200924 14:27:46.115  	15.906	78.88	-4.0	0.04	0.03	0.04	-0.053	Normal	
20200924 14:27:46.245  	16.000	79.11	-4.0	0.04	0.05	0.05	-0.053	Normal	
20200924 14:27:46.376  	16.141	79.46	-4.0	0.04	0.02	0.04	-0.053	Normal	
20200924 14:27:46.507  	16.260	79.75	-3.7	0.04	0.03	0.04	-0.053	Normal	
20200924 14:27:46.609  	16.422	80.15	-3.5	0.04	0.03	0.04	-0.053	Normal	
20200924 14:27:46.709  	16.582	80.54	-3.3	0.04	0.04	0.04	-0.052	Normal	
20200924 14:27:46.841  	16.714	80.85	-3.3	0.04	0.14	0.04	-0.052	Normal	
20200924 14:27:46.941  	16.750	80.94	-3.3	0.04	0.22	0.04	-0.052	Normal	
20200924 14:27:47.043  	16.788	81.03	-3.2	0.04	0.28	0.04	-0.052	Normal	
20200924 14:27:47.175  	16.858	81.20	-3.3	0.04	0.30	0.04	-0.052	Normal	
20200924 14:27:47.276  	16.866	81.22	-3.0	0.04	0.32	0.04	-0.052	Normal	
20200924 14:27:47.376  	16.891	81.28	-2.8	0.04	0.33	0.04	-0.052	Normal	
20200924 14:27:47.507  	16.860	81.21	-2.5	0.04	0.38	0.04	-0.052	Normal	
20200924 14:27:47.607  	16.848	81.18	-2.4	0.04	0.41	0.04	-0.052	Normal	
20200924 14:27:47.708  	16.799	81.06	-2.4	0.04	0.41	0.04	-0.053	Normal	
20200924 14:27:47.807  	16.744	80.93	-2.4	0.04	0.41	0.04	-0.053	Normal	
20200924 14:27:47.941  	16.629	80.65	-2.4	0.04	0.27	0.04	-0.053	Normal	
20200924 14:27:48.041  	16.582	80.54	-2.4	0.04	0.26	0.04	-0.053	Normal	
