          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        177.614,      -0.971057,      0.0197022,     -0.0669025,     0.00135741,     -0.0715585,       -0.07331,     0.00144693
        177.863,      -0.971772,     0.00972779,     -0.0667642,    0.000668334,     -0.0715585,     -0.0733064,    0.000757483
         178.01,      -0.961083,      0.0204172,      -0.065921,     0.00140042,     -0.0715585,     -0.0732843,     0.00148733
        177.922,      -0.956078,       0.090238,     -0.0656426,     0.00619558,     -0.0715585,      -0.073277,     0.00628176
        178.142,      -0.956078,       0.090238,     -0.0654806,     0.00618029,     -0.0715585,     -0.0732728,     0.00626604
        178.494,       -1.01095,      0.0168423,     -0.0689662,     0.00114896,     -0.0715585,      -0.073364,     0.00124409
         178.64,       -1.03659,      0.0745438,     -0.0705988,     0.00507695,     -0.0715585,     -0.0734067,     0.00517663
        178.728,       -1.04088,      0.0146974,     -0.0708212,     0.00100001,     -0.0715585,     -0.0734126,     0.00110032
        178.758,       -1.04088,      0.0146974,      -0.070798,     0.00099968,     -0.0715585,      -0.073412,     0.00109993
        178.802,       -1.00098,      0.0175573,     -0.0680507,     0.00119362,     -0.0715585,       -0.07334,     0.00128623
        178.479,      -0.393125,       0.175924,      -0.026823,      0.0120033,     -0.0349066,     -0.0356088,      0.0120177
        178.464,      -0.393125,       0.175924,     -0.0268274,      0.0120053,     -0.0349066,     -0.0356089,      0.0120197
         178.23,      -0.383132,       0.176273,     -0.0262143,      0.0120608,     -0.0349066,     -0.0355929,      0.0120746
        177.951,      -0.383132,       0.176273,     -0.0262965,      0.0120986,     -0.0349066,      -0.035595,      0.0121125
        177.966,      -0.383481,        0.16628,     -0.0263161,      0.0114108,     -0.0349066,     -0.0355955,      0.0114247
        177.922,      -0.363493,       0.166978,     -0.0249568,      0.0114644,     -0.0349066,     -0.0355599,      0.0114768
        178.156,      -0.363493,       0.166978,     -0.0248911,      0.0114342,     -0.0349066,     -0.0355582,      0.0114466
        178.068,      -0.381387,       0.226243,     -0.0261422,      0.0155079,     -0.0349066,      -0.035591,      0.0155215
        178.171,      -0.382085,       0.206255,     -0.0261599,      0.0141215,     -0.0349066,     -0.0355914,      0.0141352
        178.332,      -0.373138,       0.176622,     -0.0255011,      0.0120708,     -0.0349066,     -0.0355742,      0.0120838
        178.054,           0.33,           0.16,      0.0226236,       0.010969,              0,    0.000592285,      0.0109793
         177.98,           0.31,           0.17,        0.02127,      0.0116642,              0,    0.000556848,      0.0116733
        177.951,           0.31,           0.17,       0.021277,      0.0116681,              0,    0.000557031,      0.0116771
        177.922,           0.28,           0.17,      0.0192243,      0.0116719,              0,    0.000503291,      0.0116793
        177.892,           0.27,           0.17,      0.0185438,      0.0116757,              0,    0.000485476,      0.0116826
        177.746,           0.24,           0.15,      0.0165106,      0.0103191,              0,    0.000432247,      0.0103246
        177.716,           0.24,           0.15,      0.0165161,      0.0103225,              0,     0.00043239,       0.010328
         177.79,           0.24,           0.15,      0.0165025,       0.010314,              0,    0.000432033,      0.0103195
        177.892,           0.24,           0.15,      0.0164834,      0.0103021,              0,    0.000431535,      0.0103076
        177.878,       0.239266,       0.209161,      0.0164357,      0.0143677,     0.00349066,     0.00392094,      0.0143731
        177.628,       0.871786,       0.189154,      0.0600531,      0.0130299,      0.0349066,      0.0364788,      0.0131021
        177.408,       0.901768,       0.188107,      0.0622726,        0.01299,      0.0349066,      0.0365369,      0.0130675
        177.394,       0.871786,       0.189154,      0.0602121,      0.0130644,      0.0349066,      0.0364829,      0.0131369
        177.335,       0.861792,       0.189503,      0.0595613,      0.0130972,      0.0349066,      0.0364659,      0.0131682
        177.423,       0.941394,       0.196705,      0.0649983,      0.0135815,      0.0349066,      0.0366082,       0.013666
        177.584,       0.942092,       0.176718,      0.0649284,      0.0121793,      0.0349066,      0.0366064,      0.0122636
         177.76,       0.942092,       0.176718,      0.0647999,      0.0121551,      0.0349066,       0.036603,      0.0122391
        178.127,       0.901768,       0.188107,      0.0617711,      0.0128854,      0.0349066,      0.0365237,      0.0129617
         178.23,       0.901327,       0.186506,      0.0616698,       0.012761,      0.0366519,      0.0382664,       0.012837
        178.024,       0.902036,       0.154927,      0.0618608,      0.0106248,      0.0383972,      0.0400167,      0.0107013
        176.162,        1.54171,      0.0879522,       0.107977,     0.00615991,      0.0715585,      0.0743853,     0.00639309
        176.426,        1.54882,       0.127135,        0.10815,     0.00887751,      0.0715585,      0.0743898,     0.00911144
        176.631,         1.5588,        0.12642,       0.108594,     0.00880708,      0.0715585,      0.0744015,     0.00904293
        176.734,         1.5588,        0.12642,       0.108468,     0.00879685,      0.0715585,      0.0743982,     0.00903215
        176.836,        1.54943,       0.129898,       0.107691,     0.00902836,      0.0698131,      0.0726325,     0.00926031
         176.91,        1.54028,       0.107901,       0.106966,     0.00749329,      0.0715585,      0.0743588,     0.00772213
        176.763,        1.52319,      0.0694333,       0.105955,     0.00482987,      0.0715585,      0.0743324,      0.0050544
        176.572,        1.47189,       0.092957,       0.102608,     0.00648018,      0.0715585,      0.0742447,     0.00669075
        176.528,        1.51178,      0.0900971,       0.105441,     0.00628394,      0.0715585,      0.0743189,      0.0065063
        176.514,        1.51178,      0.0900971,       0.105459,     0.00628499,      0.0715585,      0.0743194,     0.00650742
        175.707,        2.14402,    0.000868068,       0.150939,    6.11119e-05,        0.10472,       0.108671,    0.000516761
        175.487,        2.13407,     0.00191335,       0.150615,    0.000135038,        0.10472,       0.108663,    0.000588738
        175.238,        2.10946,     -0.0446769,       0.149302,    -0.00316212,        0.10472,       0.108628,     -0.0027163
        175.106,        2.10946,     -0.0446769,       0.149528,    -0.00316689,        0.10472,       0.108634,    -0.00271972
        174.988,        2.10946,     -0.0446769,       0.149728,    -0.00317114,        0.10472,        0.10864,    -0.00272277
        175.091,        2.10946,     -0.0446769,       0.149553,    -0.00316742,        0.10472,       0.108635,     -0.0027201
        175.252,         2.1187,     -0.0494868,       0.149931,    -0.00350197,       0.106465,        0.11039,    -0.00305238
        175.296,        2.11551,     -0.0196567,        0.14963,    -0.00139032,       0.106465,       0.110382,   -0.000942536
        175.516,        2.12082,     -0.0693736,        0.14963,    -0.00489451,       0.106465,       0.110382,    -0.00444673
        175.414,         2.1187,     -0.0494868,       0.149656,    -0.00349553,       0.106465,       0.110383,     -0.0030476
        174.724,        2.72805,      -0.140726,       0.194221,     -0.0100188,       0.139626,       0.144711,     -0.0092644
        174.739,        2.76767,      -0.146293,       0.197008,     -0.0104134,       0.139626,       0.144784,    -0.00963717
        174.548,        2.71103,      -0.157748,       0.193399,     -0.0112534,       0.139626,       0.144689,     -0.0105053
        174.475,        2.71242,       -0.16765,       0.193661,     -0.0119698,       0.139626,       0.144696,     -0.0112198
