Date:	9/10/2011
Time:	5:24 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20110910 17:11:35.765  	37.490	121.10	-4.1	-0.98	0.09	-1.93	0.065	Normal	
20110910 17:11:35.866  	37.595	121.27	-4.1	-0.98	0.08	-1.93	0.064	Normal	
20110910 17:11:35.965  	37.661	121.37	-4.1	-0.97	0.09	-1.86	0.065	Normal	
20110910 17:11:36.066  	37.622	121.31	-4.1	-0.97	0.16	-1.86	0.065	Normal	
20110910 17:11:36.167  	37.718	121.46	-4.1	-0.97	0.16	-1.86	0.065	Normal	
20110910 17:11:36.269  	37.863	121.70	-4.1	-1.02	0.09	-1.99	0.064	Normal	
20110910 17:11:36.369  	37.925	121.80	-4.1	-1.05	0.15	-2.04	0.064	Normal	
20110910 17:11:36.468  	37.963	121.86	-4.1	-1.05	0.09	-2.04	0.064	Normal	
20110910 17:11:36.568  	37.978	121.88	-4.1	-1.05	0.09	-2.04	0.063	Normal	
20110910 17:11:36.698  	37.998	121.91	-4.1	-1.01	0.09	-1.94	0.063	Normal	
20110910 17:11:45.043  	37.858	121.69	-2.0	-0.40	0.19	-1.15	0.063	Normal	
20110910 17:11:45.176  	37.853	121.68	-2.0	-0.40	0.19	-1.15	0.063	Normal	
20110910 17:11:45.275  	37.755	121.52	-2.0	-0.39	0.19	-1.15	0.063	Normal	
20110910 17:11:45.377  	37.637	121.33	-2.0	-0.39	0.19	-1.09	0.062	Normal	
20110910 17:11:45.508  	37.643	121.34	-2.0	-0.39	0.18	-1.11	0.062	Normal	
20110910 17:11:45.639  	37.624	121.31	-2.0	-0.37	0.18	-1.11	0.062	Normal	
20110910 17:11:45.769  	37.720	121.47	-2.0	-0.37	0.18	-1.11	0.062	Normal	
20110910 17:11:45.869  	37.683	121.41	-2.0	-0.39	0.24	-1.16	0.063	Normal	
20110910 17:11:45.970  	37.729	121.48	-2.0	-0.39	0.22	-1.20	0.063	Normal	
20110910 17:11:46.101  	37.794	121.59	-2.0	-0.38	0.19	-1.08	0.063	Normal	
20110910 17:11:53.916  	37.680	121.40	-0.0	0.33	0.16	-0.25	0.063	Normal	
20110910 17:11:54.017  	37.649	121.35	-0.0	0.31	0.17	-0.28	0.064	Normal	
20110910 17:11:54.116  	37.634	121.33	-0.0	0.31	0.17	-0.29	0.064	Normal	
20110910 17:11:54.248  	37.622	121.31	-0.0	0.28	0.17	-0.37	0.064	Normal	
20110910 17:11:54.349  	37.611	121.29	-0.0	0.27	0.17	-0.37	0.064	Normal	
20110910 17:11:54.481  	37.549	121.19	-0.0	0.24	0.15	-0.43	0.064	Normal	
20110910 17:11:54.581  	37.536	121.17	-0.0	0.24	0.15	-0.43	0.064	Normal	
20110910 17:11:54.683  	37.565	121.22	-0.0	0.24	0.15	-0.43	0.064	Normal	
20110910 17:11:54.783  	37.610	121.29	0.0	0.24	0.15	-0.45	0.064	Normal	
20110910 17:11:54.914  	37.602	121.28	0.2	0.24	0.21	-0.45	0.064	Normal	
20110910 17:12:12.492  	37.499	121.11	2.0	0.88	0.22	0.32	0.061	Normal	
20110910 17:12:12.593  	37.408	120.96	2.0	0.91	0.22	0.42	0.061	Normal	
20110910 17:12:12.692  	37.398	120.95	2.0	0.88	0.22	0.32	0.060	Normal	
20110910 17:12:12.823  	37.372	120.91	2.0	0.87	0.22	0.29	0.060	Normal	
20110910 17:12:12.955  	37.410	120.97	2.0	0.95	0.23	0.33	0.061	Normal	
20110910 17:12:13.087  	37.482	121.08	2.0	0.95	0.21	0.33	0.061	Normal	
20110910 17:12:13.216  	37.553	121.20	2.0	0.95	0.21	0.36	0.062	Normal	
20110910 17:12:13.348  	37.711	121.45	2.0	0.91	0.22	0.36	0.062	Normal	
